Name,Team,ERA,GB/FB,Relief-IP,K%,BB%,HardHit%,Zone%,Pace (pi)
Rafael Montero,2 Tms,3.86,1.28,35,25.30%,12.30%,45.10%,36.00%,18.1
Lyon Richardson,CIN,3.73,2.38,31.1,17.50%,10.90%,42.70%,40.60%,18.1
Lake Bachar,MIA,3.15,0.82,45.2,25.80%,11.30%,40.40%,41.30%,18.1
Brock Burke,LAA,3.43,1.57,39.1,20.10%,8.90%,43.20%,47.90%,18
Reid Detmers,LAA,4.06,1.53,44.1,28.70%,10.10%,41.20%,47.20%,18
Randy Rodríguez,SFG,0.84,0.9,42.2,35.00%,5.00%,38.90%,45.00%,18
Carlos Hernández,2 Tms,6.17,0.68,35,20.20%,11.30%,41.60%,44.60%,18
Angel Zerpa,KCR,3.79,3.17,40.1,22.40%,8.20%,44.00%,47.90%,18
Justin Sterner,ATH,3.41,0.53,34.1,23.60%,10.80%,38.70%,38.80%,18
Brennan Bernardino,BOS,3.52,1.49,38.1,18.00%,10.80%,33.60%,43.60%,18
Keegan Akin,BAL,3.67,0.73,34.1,22.30%,10.10%,42.40%,46.80%,17.9
Tanner Scott,LAD,4,1.11,45,27.90%,5.00%,42.90%,49.20%,17.9
JoJo Romero,STL,2.37,1.46,30.1,21.90%,11.70%,38.10%,42.70%,17.8
Erik Miller,SFG,1.5,1.65,30,17.20%,15.60%,32.50%,35.90%,17.8
Tyler Holton,DET,3.16,1.49,42.2,20.70%,4.70%,36.50%,41.00%,17.8
Hogan Harris,ATH,4.05,0.78,40,23.70%,13.40%,29.30%,47.50%,17.7
Kyle Leahy,STL,2.98,1.31,51.1,19.60%,8.60%,41.60%,45.90%,17.7
Brenan Hanifee,DET,3.3,2.1,46.1,14.90%,5.40%,44.40%,46.80%,17.7
Ben Casparius,LAD,4.31,0.86,54.1,22.60%,4.90%,30.10%,43.60%,17.7
Huascar Brazobán,NYM,4.26,1.36,44.1,23.50%,11.50%,38.30%,41.80%,17.7
Carlos Estévez,KCR,2.74,0.46,42.2,19.60%,8.40%,38.90%,48.90%,17.6
Garrett Whitlock,BOS,3.3,1.33,46.1,30.10%,9.80%,35.70%,43.40%,17.6
Aaron Bummer,ATL,3.53,3.22,35.2,24.20%,8.50%,40.40%,42.00%,17.5
Wandy Peralta,SDP,3.45,2.72,44.1,20.50%,11.80%,37.90%,40.10%,17.5
John King,STL,5.35,3.27,37,12.70%,6.90%,39.60%,44.80%,17.4
Brandon Eisert,CHW,4.46,0.95,38.1,25.40%,5.90%,33.30%,37.00%,17.4
Manuel Rodríguez,TBR,2.08,2.65,30.1,20.70%,5.00%,41.60%,43.20%,17.3
Chad Green,TOR,3.73,0.66,41,18.70%,7.60%,49.20%,42.50%,17.3
Chase Shugart,PIT,3.69,0.67,39,13.80%,9.40%,38.00%,42.50%,17.3
Tanner Banks,PHI,3.73,0.91,41,25.50%,3.70%,38.60%,47.90%,17.2
Will Vest,DET,2.23,2.13,44.1,28.40%,8.50%,41.40%,42.10%,17.1
Brad Lord,WSN,2.79,2.04,38.2,21.90%,8.80%,36.40%,45.80%,17.1
Kolby Allard,CLE,2.88,0.85,34.1,10.00%,6.70%,36.80%,53.30%,17
Hoby Milner,TEX,2.3,1.75,47,22.00%,7.30%,34.80%,47.30%,17
Tyler Rogers,SFG,1.54,2.93,46.2,19.80%,2.30%,31.30%,52.00%,16.9
Orion Kerkering,PHI,2.95,1.15,36.2,22.00%,11.30%,31.50%,46.20%,16.8
Ryan Walker,SFG,4.46,1.63,38.1,22.80%,5.70%,33.30%,47.10%,16.8
Sean Newcomb,2 Tms,3,1.41,42,20.20%,7.70%,41.10%,47.10%,16.6
Bryan King,HOU,2.61,1,41.1,26.20%,4.80%,30.40%,49.70%,16.6
Casey Legumina,SEA,6,1.03,36,25.60%,11.50%,42.70%,46.90%,16.6
