Name,Team,ERA-,GB/FB,Zone%,O-Swing%,K%,HardHit%,WHIP,Relief-IP
Chris Flexen,CHC,50,0.93,45.60%,31.00%,12.20%,35.40%,1.01,35.2
Trevor Megill,MIL,56,0.97,44.20%,34.90%,29.70%,36.80%,1.09,35.2
Jordan Romano,PHI,164,0.8,46.40%,28.80%,24.00%,41.00%,1.44,35.1
Kolby Allard,CLE,70,0.83,52.80%,29.60%,11.10%,36.50%,1.47,35.1
Gregory Soto,BAL,102,1.33,43.10%,30.20%,26.80%,41.30%,1.33,35.1
Carlos Hernández,2 Tms,167,0.69,44.30%,33.10%,20.30%,41.40%,1.81,35.1
Luke Jackson,TEX,103,1.84,43.40%,28.80%,15.80%,47.70%,1.46,35
Tyler Ferguson,ATH,160,0.95,38.80%,29.80%,21.20%,34.70%,1.51,35
David Bednar,PIT,55,1.16,46.50%,32.10%,33.80%,42.20%,1.11,35
Juan Mejia,COL,99,1.03,44.90%,31.80%,22.80%,37.00%,1.31,35
Angel Chivilli,COL,126,2.31,39.90%,29.90%,16.40%,39.70%,1.6,35
Justin Sterner,ATH,92,0.51,39.00%,31.70%,23.00%,37.10%,1.26,35
Jordan Leasure,CHW,101,0.86,38.80%,32.30%,26.40%,38.30%,1.57,35
Ryne Stanek,NYM,105,0.71,43.00%,33.30%,24.20%,43.60%,1.53,34.2
Félix Bautista,BAL,65,1.4,40.20%,28.90%,35.20%,42.00%,1.13,34.2
Yennier Cano,BAL,117,2.13,39.80%,35.00%,24.80%,35.40%,1.41,34.2
Chris Martin,TEX,59,1.06,50.50%,36.90%,25.70%,40.80%,1.14,34.1
Mark Leiter Jr.,NYY,111,1.6,39.50%,29.70%,29.10%,29.60%,1.57,34.1
Keegan Akin,BAL,92,0.73,46.80%,34.30%,22.30%,42.40%,1.46,34.1
Luis García,2 Tms,110,2.8,43.30%,29.40%,19.60%,52.90%,1.59,34
Ryan Helsley,STL,78,1.38,46.90%,36.20%,24.80%,44.30%,1.41,34
Lyon Richardson,CIN,87,2.27,41.00%,24.90%,17.60%,44.70%,1.38,33.1
Chase Lee,DET,87,0.84,46.20%,25.40%,23.80%,40.40%,1.05,33.1
Fernando Cruz,NYY,75,0.78,35.30%,32.90%,41.20%,41.00%,1,33
Ryan Thompson,ARI,107,1.52,39.80%,37.80%,21.40%,42.30%,1.48,32.1
Taylor Rogers,CIN,59,1.03,46.60%,26.80%,24.30%,40.20%,1.45,31.2
Caleb Boushley,TEX,121,1,43.10%,26.70%,23.30%,51.60%,1.29,31.2
Steven Wilson,CHW,49,0.62,44.00%,27.90%,21.00%,40.00%,1.33,31.2
Valente Bellozo,MIA,88,0.65,43.60%,33.50%,16.30%,39.20%,1.17,31.2
Brock Stewart,MIN,64,0.81,45.10%,31.30%,31.30%,32.90%,1.09,31.1
JoJo Romero,STL,57,1.5,43.20%,29.30%,22.70%,38.40%,1.28,31.1
Mason Montgomery,TBR,143,1.31,46.10%,36.50%,28.50%,39.80%,1.66,31.1
Cade Gibson,MIA,57,2.36,44.90%,30.20%,17.30%,40.40%,1.15,30.1
Daysbel Hernández,ATL,51,1.22,37.50%,26.20%,24.00%,33.30%,1.3,30
