Name,Team,ERA-,GB/FB,Zone%,O-Swing%,K%,HardHit%,WHIP,Start-IP,pred_ERA-,diff_ERA-
MacKenzie Gore,WSN,87,0.84,0.41200000000000003,0.34600000000000003,0.297,0.41,1.27,112.2,82.12590863063625,-4.874091369363754
Logan Webb,SFG,87,2.5,0.40299999999999997,0.34600000000000003,0.205,0.46,1.23,204.2,91.44803915102553,4.448039151025526
Tanner Bibee,CLE,87,0.78,0.445,0.315,0.263,0.369,1.12,173.2,83.77813061637713,-3.221869383622874
Bryce Elder,ATL,87,1.68,0.382,0.322,0.175,0.40700000000000003,1.28,174.2,104.98953114478279,17.989531144782788
Zack Littell,TBR,88,1.01,0.469,0.363,0.17,0.419,1.09,122.1,106.12454233189368,18.12454233189368
Clay Holmes,NYM,88,2.05,0.43,0.315,0.18899999999999997,0.41600000000000004,1.27,108.2,93.44610465101793,5.446104651017933
Dylan Cease,SDP,88,0.94,0.389,0.335,0.294,0.382,1.07,189.1,81.35736862377746,-6.642631376222539
Sean Manaea,NYM,88,0.87,0.436,0.322,0.249,0.376,1.08,181.2,87.74038891610645,-0.2596110838935459
Spencer Strider,ATL,88,0.78,0.43799999999999994,0.379,0.368,0.361,1.09,186.2,58.25006956386325,-29.74993043613675
Ryan Pepiot,TBR,89,0.93,0.465,0.326,0.242,0.429,1.16,120.1,90.92822573930019,1.9282257393001885
Gavin Williams,CLE,89,1.14,0.41200000000000003,0.299,0.237,0.406,1.38,104.1,92.91328340292203,3.9132834029220334
José Berríos,TOR,89,1.17,0.414,0.327,0.195,0.415,1.15,192.1,103.42454191062801,14.424541910628008
Brady Singer,KCR,89,1.62,0.414,0.29,0.223,0.41700000000000004,1.27,179.2,91.75564879935176,2.7556487993517607
Hunter Brown,HOU,89,1.57,0.418,0.305,0.249,0.297,1.28,165,74.07888184755683,-14.92111815244317
Freddy Peralta,MIL,89,1.04,0.405,0.321,0.309,0.373,1.12,165.2,74.11323960858977,-14.886760391410235
Freddy Peralta,MIL,90,0.82,0.373,0.32,0.276,0.365,1.21,173.2,87.05612520778736,-2.9438747922126396
Yusei Kikuchi,TOR,90,1.04,0.431,0.32899999999999996,0.259,0.424,1.27,167.2,88.51650879547701,-1.4834912045229913
Zach Eflin,2 Tms,92,1.14,0.45,0.355,0.196,0.359,1.15,165.1,94.50608442710339,2.5060844271033886
Grant Holmes,ATL,93,1.22,0.42200000000000004,0.32799999999999996,0.254,0.41200000000000003,1.33,110,87.45626082608203,-5.54373917391797
Logan Gilbert,SEA,93,1.02,0.47,0.34,0.245,0.446,1.08,190.2,90.3155223459559,-2.6844776540441018
